title	year	value	canton	file_year
No affiliation	2012	21.4	Switzerland	2015
No affiliation	2012	19.6	Zug	2015
No affiliation	2012	26.9	Vaud	2015
No affiliation	2012	22.6	Aargau	2015
No affiliation	2012	16.2	Appenzell	2015
No affiliation	2012	–	Appenzell	2015
No affiliation	2012	25.7	Basel-Landschaft	2015
No affiliation	2012	43.8	Basel-Stadt	2015
No affiliation	2012	14.3	Fribourg	2015
No affiliation	2012	36.0	Geneva	2015
No affiliation	2012	15.0	Glarus	2015
No affiliation	2012	14.0	Graubünden	2015
No affiliation	2012	12.1	Jura	2015
No affiliation	2012	16.2	Bern	2015
No affiliation	2012	39.3	Neuchâtel	2015
No affiliation	2012	13.8	Lucerne	2015
No affiliation	2012	11.1	Valais	2015
No affiliation	2012	–	Uri	2015
No affiliation	2012	16.8	Ticino	2015
No affiliation	2012	16.9	Thurgau	2015
No affiliation	2012	26.6	Solothurn	2015
No affiliation	2012	24.2	Zurich	2015
No affiliation	2012	22.4	Schaffhausen	2015
No affiliation	2012	15.1	Saint	2015
No affiliation	2012	12.1	Obwalden	2015
No affiliation	2012	13.9	Nidwalden	2015
No affiliation	2012	14.4	Schwyz	2015
No affiliation	2013	13.4	Nidwalden	2016
No affiliation	2013	20.1	Zug	2016
No affiliation	2013	27.9	Vaud	2016
No affiliation	2013	11.7	Valais	2016
No affiliation	2013	17.2	Ticino	2016
No affiliation	2013	8.6	Uri	2016
No affiliation	2013	15.4	Saint	2016
No affiliation	2013	22.5	Schaffhausen	2016
No affiliation	2013	10.7	Obwalden	2016
No affiliation	2013	27.3	Solothurn	2016
No affiliation	2013	40.1	Neuchâtel	2016
No affiliation	2013	14.2	Schwyz	2016
No affiliation	2013	15.5	Lucerne	2016
No affiliation	2013	17.7	Thurgau	2016
No affiliation	2013	14.7	Graubünden	2016
No affiliation	2013	22.2	Bern	2016
No affiliation	2013	23.5	Aargau	2016
No affiliation	2013	18.3	Appenzell	2016
No affiliation	2013	–	Appenzell	2016
No affiliation	2013	25.4	Basel-Landschaft	2016
No affiliation	2013	25.0	Zurich	2016
No affiliation	2013	12.7	Jura	2016
No affiliation	2013	16.9	Bern	2016
No affiliation	2013	14.9	Fribourg	2016
No affiliation	2013	37.5	Geneva	2016
No affiliation	2013	15.9	Glarus	2016
No affiliation	2013	45.5	Basel-Stadt	2016
No affiliation	2014	17.1	Appenzell	2017
No affiliation	2014	–	Appenzell	2017
No affiliation	2014	27.6	Basel-Landschaft	2017
No affiliation	2014	45.6	Basel-Stadt	2017
No affiliation	2014	17.9	Bern	2017
No affiliation	2014	15.6	Fribourg	2017
No affiliation	2014	37.2	Geneva	2017
No affiliation	2014	15.8	Graubünden	2017
No affiliation	2014	12.4	Jura	2017
No affiliation	2014	15.7	Lucerne	2017
No affiliation	2014	17.0	Nidwalden	2017
No affiliation	2014	12.0	Obwalden	2017
No affiliation	2014	18.9	Glarus	2017
No affiliation	2014	41.8	Neuchâtel	2017
No affiliation	2014	23.0	Bern	2017
No affiliation	2014	–	Uri	2017
No affiliation	2014	17.4	Ticino	2017
No affiliation	2014	22.9	Schaffhausen	2017
No affiliation	2014	16.5	Schwyz	2017
No affiliation	2014	18.8	Thurgau	2017
No affiliation	2014	28.1	Solothurn	2017
No affiliation	2014	28.4	Vaud	2017
No affiliation	2014	20.5	Zug	2017
No affiliation	2014	25.8	Zurich	2017
No affiliation	2014	16.3	Saint	2017
No affiliation	2014	12.4	Valais	2017
No affiliation	2014	24.8	Aargau	2017
No affiliation	2016	28.9	Basel-Landschaft	2018
No affiliation	2016	16.8	Fribourg	2018
No affiliation	2016	19.7	Bern	2018
No affiliation	2016	47.5	Basel-Stadt	2018
No affiliation	2016	–	Appenzell	2018
No affiliation	2016	21.3	Glarus	2018
No affiliation	2016	26.4	Aargau	2018
No affiliation	2016	17.5	Nidwalden	2018
No affiliation	2016	40.3	Geneva	2018
No affiliation	2016	24.9	Bern	2018
No affiliation	2016	27.6	Zurich	2018
No affiliation	2016	21.0	Appenzell	2018
No affiliation	2016	16.4	Graubünden	2018
No affiliation	2016	14.5	Jura	2018
No affiliation	2016	44.4	Neuchâtel	2018
No affiliation	2016	25.1	Schaffhausen	2018
No affiliation	2016	19.1	Schwyz	2018
No affiliation	2016	30.7	Solothurn	2018
No affiliation	2016	19.6	Ticino	2018
No affiliation	2016	–	Uri	2018
No affiliation	2016	17.8	Saint	2018
No affiliation	2016	31.0	Vaud	2018
No affiliation	2016	22.3	Zug	2018
No affiliation	2016	21.3	Thurgau	2018
No affiliation	2016	13.5	Obwalden	2018
No affiliation	2016	16.7	Lucerne	2018
No affiliation	2016	13.9	Valais	2018
No affiliation	2016-2018	21.2	Glarus	2020
No affiliation	2016-2018	41.5	Geneva	2020
No affiliation	2016-2018	18.3	Fribourg	2020
No affiliation	2016-2018	20.8	Bern	2020
No affiliation	2016-2018	49.4	Basel-Stadt	2020
No affiliation	2016-2018	29.4	Zurich	2020
No affiliation	2016-2018	9.8	Appenzell	2020
No affiliation	2016-2018	26.3	Switzerland	2020
No affiliation	2016-2018	28.0	Aargau	2020
No affiliation	2016-2018	21.3	Appenzell	2020
No affiliation	2016-2018	18.2	Graubünden	2020
No affiliation	2016-2018	30.4	Basel-Landschaft	2020
No affiliation	2016-2018	15.5	Jura	2020
No affiliation	2016-2018	18.1	Lucerne	2020
No affiliation	2016-2018	46.1	Neuchâtel	2020
No affiliation	2016-2018	32.7	Vaud	2020
No affiliation	2016-2018	15.5	Valais	2020
No affiliation	2016-2018	10.0	Uri	2020
No affiliation	2016-2018	20.8	Ticino	2020
No affiliation	2016-2018	21.8	Thurgau	2020
No affiliation	2016-2018	23.5	Zug	2020
No affiliation	2016-2018	19.4	Schwyz	2020
No affiliation	2016-2018	25.4	Schaffhausen	2020
No affiliation	2016-2018	19.1	Saint	2020
No affiliation	2016-2018	15.5	Obwalden	2020
No affiliation	2016-2018	17.4	Nidwalden	2020
No affiliation	2016-2018	31.3	Solothurn	2020
No affiliation	2017	18.3	Schwyz	2019
No affiliation	2017	30.6	Solothurn	2019
No affiliation	2017	21.5	Thurgau	2019
No affiliation	2017	20.1	Ticino	2019
No affiliation	2017	–	Uri	2019
No affiliation	2017	23.2	Zug	2019
No affiliation	2017	32.6	Vaud	2019
No affiliation	2017	15.0	Nidwalden	2019
No affiliation	2017	26.0	Switzerland	2019
No affiliation	2017	27.7	Aargau	2019
No affiliation	2017	25.1	Schaffhausen	2019
No affiliation	2017	15.3	Valais	2019
No affiliation	2017	18.5	Saint	2019
No affiliation	2017	18.1	Fribourg	2019
