title	year	value	canton	file_year
Crude marriage rate	2013	5.2	Nidwalden	2015
Crude marriage rate	2013	4.9	Aargau	2015
Crude marriage rate	2013	4.2	Appenzell	2015
Crude marriage rate	2013	4.5	Appenzell	2015
Crude marriage rate	2013	4.5	Basel-Landschaft	2015
Crude marriage rate	2013	5.0	Basel-Stadt	2015
Crude marriage rate	2013	4.9	Bern	2015
Crude marriage rate	2013	4.5	Fribourg	2015
Crude marriage rate	2013	4.9	Geneva	2015
Crude marriage rate	2013	4.4	Glarus	2015
Crude marriage rate	2013	4.4	Graubünden	2015
Crude marriage rate	2013	3.9	Jura	2015
Crude marriage rate	2013	5.0	Lucerne	2015
Crude marriage rate	2013	4.2	Neuchâtel	2015
Crude marriage rate	2013	5.6	Zurich	2015
Crude marriage rate	2013	4.5	Obwalden	2015
Crude marriage rate	2013	5.2	Saint	2015
Crude marriage rate	2013	4.3	Schaffhausen	2015
Crude marriage rate	2013	5.2	Schwyz	2015
Crude marriage rate	2013	4.6	Solothurn	2015
Crude marriage rate	2013	4.9	Thurgau	2015
Crude marriage rate	2013	4.6	Ticino	2015
Crude marriage rate	2013	4.4	Uri	2015
Crude marriage rate	2013	4.6	Valais	2015
Crude marriage rate	2013	4.9	Switzerland	2015
Crude marriage rate	2013	4.4	Vaud	2015
Crude marriage rate	2013	5.1	Zug	2015
Crude marriage rate	2014	4.7	Nidwalden	2016
Crude marriage rate	2014	5.2	Zug	2016
Crude marriage rate	2014	4.6	Vaud	2016
Crude marriage rate	2014	4.7	Valais	2016
Crude marriage rate	2014	4.7	Uri	2016
Crude marriage rate	2014	4.5	Ticino	2016
Crude marriage rate	2014	5.2	Thurgau	2016
Crude marriage rate	2014	4.8	Solothurn	2016
Crude marriage rate	2014	5.0	Schwyz	2016
Crude marriage rate	2014	4.9	Schaffhausen	2016
Crude marriage rate	2014	5.4	Saint	2016
Crude marriage rate	2014	4.8	Obwalden	2016
Crude marriage rate	2014	5.1	Bern	2016
Crude marriage rate	2014	4.3	Neuchâtel	2016
Crude marriage rate	2014	4.1	Jura	2016
Crude marriage rate	2014	4.6	Graubünden	2016
Crude marriage rate	2014	4.8	Glarus	2016
Crude marriage rate	2014	4.9	Geneva	2016
Crude marriage rate	2014	4.6	Fribourg	2016
Crude marriage rate	2014	5.2	Bern	2016
Crude marriage rate	2014	5.2	Basel-Stadt	2016
Crude marriage rate	2014	4.7	Basel-Landschaft	2016
Crude marriage rate	2014	5.2	Appenzell	2016
Crude marriage rate	2014	5.5	Appenzell	2016
Crude marriage rate	2014	5.1	Aargau	2016
Crude marriage rate	2014	5.3	Lucerne	2016
Crude marriage rate	2014	5.9	Zurich	2016
Crude marriage rate	2015	5.0	Bern	2017
Crude marriage rate	2015	5.9	Zurich	2017
Crude marriage rate	2015	5.3	Appenzell	2017
Crude marriage rate	2015	5.5	Zug	2017
Crude marriage rate	2015	4.5	Vaud	2017
Crude marriage rate	2015	4.5	Valais	2017
Crude marriage rate	2015	4.4	Uri	2017
Crude marriage rate	2015	4.3	Ticino	2017
Crude marriage rate	2015	5.3	Thurgau	2017
Crude marriage rate	2015	4.7	Solothurn	2017
Crude marriage rate	2015	5.5	Schwyz	2017
Crude marriage rate	2015	4.6	Schaffhausen	2017
Crude marriage rate	2015	5.2	Saint	2017
Crude marriage rate	2015	4.6	Obwalden	2017
Crude marriage rate	2015	5.1	Aargau	2017
Crude marriage rate	2015	4.0	Neuchâtel	2017
Crude marriage rate	2015	5.3	Lucerne	2017
Crude marriage rate	2015	4.0	Jura	2017
Crude marriage rate	2015	4.7	Graubünden	2017
