title	year	value	canton	file_year
Residents	2010	611,466	Aargau	2012
Population density per km2	2010	438	Aargau	2012
Change in the last 10 years in %	2000-2010	1.2	Aargau	2012
Through migration	2000-2010	9.5	Aargau	2012
Through natural increase	2000-2010	2.8	Aargau	2012
Foreign nationals in %	2010	21.9	Aargau	2012
0-19 years	2010	21.2	Aargau	2012
20-64 years	2010	63.2	Aargau	2012
>64 years	2010	15.5	Aargau	2012
Urban population in %	2010	65.8	Aargau	2012
Private households	2010	256,288	Aargau	2012
Persons per household	2010	2.3	Aargau	2012
German	2000	87.1	Aargau	2012
French	2000	0.8	Aargau	2012
Italian	2000	3.3	Aargau	2012
Romansh	2000	0.1	Aargau	2012
Protestants	2000	37.3	Aargau	2012
Roman Catholics	2000	40.1	Aargau	2012
No religious affiliation	2000	10.5	Aargau	2012
Area in km²	1992/97	1,403.8	Aargau	2012
Settlement area in %	1992/97	15.4	Aargau	2012
Agricultural area in %	1992/97	45.3	Aargau	2012
Forests and copses in %	1992/97	36.9	Aargau	2012
Non-productive areas in %	1992/97	2.4	Aargau	2012
Rate of employment (15-64 years) in %	2000	80.6	Aargau	2012
Unemployment rate in % (annual average)	2011	2.92	Aargau	2012
Employed	2008	285,337	Aargau	2012
Primary sector	2008	11,711	Aargau	2012
Secondary sector	2008	95,844	Aargau	2012
Tertiary sector	2008	177,782	Aargau	2012
Business establishments	2008	31,512	Aargau	2012
Primary sector	2008	3,927	Aargau	2012
Secondary sector	2008	6,055	Aargau	2012
Tertiary sector	2008	21,530	Aargau	2012
Residents per room	2000	0.57	Aargau	2012
Ratio of owner-occupied housing	2000	47.7	Aargau	2012
New housing units per 1000 residents	2010	6.0	Aargau	2012
Rate of vacant housing units	2011	1.54	Aargau	2012
Passenger cars per 1000 inhabitants	2010	561.6	Aargau	2012
Public transportation	2000	19.5	Aargau	2012
Private car	2000	55.3	Aargau	2012
Physicians in private practice per 100 000 people	2010	156	Aargau	2012
Hospital beds per 1000 people	2009	5.0	Aargau	2012
Hospitalisation rate per 1000 people	2009	130.3	Aargau	2012
Without post-mandatory education	2000	21.9	Aargau	2012
Upper secondary schools	2000	52.7	Aargau	2012
Higher Education	2000	20.2	Aargau	2012
FDP	2011	11.5	Aargau	2012
CVP	2011	10.6	Aargau	2012
SP	2011	18.0	Aargau	2012
SVP	2011	34.8	Aargau	2012
BDP	2011	6.1	Aargau	2012
EVP/CSP	2011	3.2	Aargau	2012
GLP	2011	5.7	Aargau	2012
PDA/Sol.	2011	–	Aargau	2012
GPS	2011	7.3	Aargau	2012
