title	year	value	canton	file_year
under the Swiss Criminal Code	2013	30.2	Nidwalden	2015
under the Swiss Criminal Code	2013	54.7	Aargau	2015
under the Swiss Criminal Code	2013	39.1	Appenzell	2015
under the Swiss Criminal Code	2013	23.5	Appenzell	2015
under the Swiss Criminal Code	2013	56.1	Basel-Landschaft	2015
under the Swiss Criminal Code	2013	128.3	Basel-Stadt	2015
under the Swiss Criminal Code	2013	67.7	Bern	2015
under the Swiss Criminal Code	2013	64.4	Fribourg	2015
under the Swiss Criminal Code	2013	127.8	Geneva	2015
under the Swiss Criminal Code	2013	34.9	Glarus	2015
under the Swiss Criminal Code	2013	42.2	Graubünden	2015
under the Swiss Criminal Code	2013	63.9	Jura	2015
under the Swiss Criminal Code	2013	64.1	Lucerne	2015
under the Swiss Criminal Code	2013	91.7	Neuchâtel	2015
under the Swiss Criminal Code	2013	76.5	Zurich	2015
under the Swiss Criminal Code	2013	38.0	Obwalden	2015
under the Swiss Criminal Code	2013	44.9	Saint	2015
under the Swiss Criminal Code	2013	42.7	Schaffhausen	2015
under the Swiss Criminal Code	2013	36.5	Schwyz	2015
under the Swiss Criminal Code	2013	69.5	Solothurn	2015
under the Swiss Criminal Code	2013	46.1	Thurgau	2015
under the Swiss Criminal Code	2013	65.4	Ticino	2015
under the Swiss Criminal Code	2013	33.7	Uri	2015
under the Swiss Criminal Code	2013	53.1	Valais	2015
under the Swiss Criminal Code	2013	71.5	Switzerland	2015
under the Swiss Criminal Code	2013	106.9	Vaud	2015
under the Swiss Criminal Code	2013	53.5	Zug	2015
under the Swiss Criminal Code	2014	34.4	Nidwalden	2016
under the Swiss Criminal Code	2014	54.1	Zug	2016
under the Swiss Criminal Code	2014	96.0	Vaud	2016
under the Swiss Criminal Code	2014	42.3	Valais	2016
under the Swiss Criminal Code	2014	28.7	Uri	2016
under the Swiss Criminal Code	2014	54.8	Ticino	2016
under the Swiss Criminal Code	2014	44.4	Thurgau	2016
under the Swiss Criminal Code	2014	62.4	Solothurn	2016
under the Swiss Criminal Code	2014	30.7	Schwyz	2016
under the Swiss Criminal Code	2014	49.1	Schaffhausen	2016
under the Swiss Criminal Code	2014	41.2	Saint	2016
under the Swiss Criminal Code	2014	42.2	Obwalden	2016
under the Swiss Criminal Code	2014	64.6	Bern	2016
under the Swiss Criminal Code	2014	82.0	Neuchâtel	2016
under the Swiss Criminal Code	2014	50.2	Jura	2016
under the Swiss Criminal Code	2014	42.0	Graubünden	2016
under the Swiss Criminal Code	2014	38.2	Glarus	2016
under the Swiss Criminal Code	2014	117.7	Geneva	2016
under the Swiss Criminal Code	2014	55.3	Fribourg	2016
under the Swiss Criminal Code	2014	58.8	Bern	2016
under the Swiss Criminal Code	2014	113.5	Basel-Stadt	2016
under the Swiss Criminal Code	2014	55.6	Basel-Landschaft	2016
under the Swiss Criminal Code	2014	24.6	Appenzell	2016
under the Swiss Criminal Code	2014	38.7	Appenzell	2016
under the Swiss Criminal Code	2014	50.5	Aargau	2016
under the Swiss Criminal Code	2014	57.7	Lucerne	2016
under the Swiss Criminal Code	2014	69.5	Zurich	2016
under the Swiss Criminal Code	2015	59.2	Bern	2017
under the Swiss Criminal Code	2015	63.9	Zurich	2017
under the Swiss Criminal Code	2015	36.3	Appenzell	2017
under the Swiss Criminal Code	2015	44.8	Zug	2017
under the Swiss Criminal Code	2015	76.6	Vaud	2017
under the Swiss Criminal Code	2015	41.3	Valais	2017
under the Swiss Criminal Code	2015	17.8	Uri	2017
under the Swiss Criminal Code	2015	48.0	Ticino	2017
under the Swiss Criminal Code	2015	41.4	Thurgau	2017
under the Swiss Criminal Code	2015	60.7	Solothurn	2017
under the Swiss Criminal Code	2015	27.0	Schwyz	2017
under the Swiss Criminal Code	2015	45.8	Schaffhausen	2017
