title	year	value	canton	file_year
Without post-mandatory education	2000	21.9	Aargau	2012
Without post-mandatory education	2000	22.9	Switzerland	2012
Without post-mandatory education	2000	25.8	Neuchâtel	2012
Without post-mandatory education	2000	24.2	Appenzell Ausserrhoden	2012
Without post-mandatory education	2000	32.7	Appenzell Innerrhoden	2012
Without post-mandatory education	2000	20.1	Basel-Landschaft	2012
Without post-mandatory education	2000	23.8	Basel-Stadt	2012
Without post-mandatory education	2000	20.3	Bern	2012
Without post-mandatory education	2000	21.4	Geneva	2012
Without post-mandatory education	2000	31.1	Glarus	2012
Without post-mandatory education	2000	24.6	Graubünden	2012
Without post-mandatory education	2000	31.0	Jura	2012
Without post-mandatory education	2000	24.3	Lucerne	2012
Without post-mandatory education	2000	27.7	Fribourg	2012
Without post-mandatory education	2000	19.2	Zurich	2012
Without post-mandatory education	2000	21.8	Nidwalden	2012
Without post-mandatory education	2000	22.7	Vaud	2012
Without post-mandatory education	2000	29.3	Valais	2012
Without post-mandatory education	2000	34.0	Uri	2012
Without post-mandatory education	2000	29.3	Ticino	2012
Without post-mandatory education	2000	23.7	Thurgau	2012
Without post-mandatory education	2000	18.8	Zug	2012
Without post-mandatory education	2000	26.8	Schwyz	2012
Without post-mandatory education	2000	21.4	Schaffhausen	2012
Without post-mandatory education	2000	25.1	Saint Gallen	2012
Without post-mandatory education	2000	26.3	Obwalden	2012
Without post-mandatory education	2000	23.8	Solothurn	2012
Without post-compulsory education	2010	24.3	Appenzell Ausserrhoden	2013
Without post-compulsory education	2010	26.6	Appenzell Innerrhoden	2013
Without post-compulsory education	2010	18.8	Basel-Landschaft	2013
Without post-compulsory education	2010	19.9	Nidwalden	2013
Without post-compulsory education	2010	20.4	Bern	2013
Without post-compulsory education	2010	22.8	Basel-Stadt	2013
Without post-compulsory education	2010	23.7	Graubünden	2013
Without post-compulsory education	2010	29.0	Glarus	2013
Without post-compulsory education	2010	34.2	Jura	2013
Without post-compulsory education	2010	23.1	Lucerne	2013
Without post-compulsory education	2010	30.7	Fribourg	2013
Without post-compulsory education	2010	27.0	Geneva	2013
Without post-compulsory education	2010	29.1	Neuchâtel	2013
Without post-compulsory education	2010	27.7	Ticino	2013
Without post-compulsory education	2010	25.0	Obwalden	2013
Without post-compulsory education	2010	17.9	Zurich	2013
Without post-compulsory education	2010	23.0	Switzerland	2013
Without post-compulsory education	2010	17.1	Zug	2013
Without post-compulsory education	2010	26.1	Vaud	2013
Without post-compulsory education	2010	32.3	Valais	2013
Without post-compulsory education	2010	30.4	Uri	2013
Without post-compulsory education	2010	20.4	Aargau	2013
Without post-compulsory education	2010	23.1	Thurgau	2013
Without post-compulsory education	2010	22.6	Solothurn	2013
Without post-compulsory education	2010	24.4	Schwyz	2013
Without post-compulsory education	2010	22.9	Schaffhausen	2013
Without post-compulsory education	2010	23.4	Saint Gallen	2013
Without post-compulsory education	2012	22.0	Nidwalden	2015
Without post-compulsory education	2012	27.6	Neuchâtel	2015
Without post-compulsory education	2012	21.7	Lucerne	2015
Without post-compulsory education	2012	31.8	Jura	2015
Without post-compulsory education	2012	22.9	Graubünden	2015
Without post-compulsory education	2012	28.9	Fribourg	2015
Without post-compulsory education	2012	26.4	Geneva	2015
Without post-compulsory education	2012	22.8	Saint Gallen	2015
Without post-compulsory education	2012	19.5	Bern	2015
